Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Cellier des Chartreux CAB Grand Prébos Cabernet Sauvignon 2022,CAB Grand Prébos Cabernet Sauvignon,Gard,France,Cellier des Chartreux,Languedoc-Roussillon,Red,2022,4,6.88,EUR,Bottle (0.75l)
Vinovalie La Belle Équipe 4 Cépages Originels 2022,La Belle Équipe 4 Cépages Originels,Vin de France,France,Vinovalie,French,Red,2022,4.1,6.95,EUR,Bottle (0.75l)
Vinovalie Sang Mêlé 2022,Sang Mêlé,South West France,France,Vinovalie,Southwest France,Red,2022,4.1,7.35,EUR,Bottle (0.75l)
Château de Sauvage Cuvée Charlet Graves 2020,Cuvée Charlet Graves,Graves,France,Château de Sauvage,Bordeaux Left Bank,Graves Red,2020,4,7.65,EUR,Bottle (0.75l)
Domodo Rosso Amabile,Rosso Amabile,Vino d'Italia,Italy,Domodo,Italian,Red,N.V.,4,7.95,EUR,Bottle (0.75l)
Haltinger Winzer Pinot Noir Blanc de Noirs 2022,Pinot Noir Blanc de Noirs,Baden,Germany,Haltinger Winzer,German,Spätburgunder,2022,4.1,7.95,EUR,Bottle (0.75l)
Château de Sauvage Cuvée Charlet Graves 2018,Cuvée Charlet Graves,Graves,France,Château de Sauvage,Bordeaux Left Bank,Graves Red,2018,4,8,EUR,Bottle (0.75l)
Cantine Leonardo da Vinci Rocca di Cesena 2020,Rocca di Cesena,Sangiovese di Romagna,Italy,Cantine Leonardo da Vinci,Northern Italy,Red,2020,4,8.39,EUR,Bottle (0.75l)
Félix Solís Kingpin,Kingpin,Vino de España,Spain,Félix Solís,Spanish,Red,N.V.,4,8.45,EUR,Bottle (0.75l)
Félix Solís Mucho Más Tinto - Black Edition,Mucho Más Tinto - Black Edition,Vino de España,Spain,Félix Solís,Spanish,Red,N.V.,4.1,8.5,EUR,Bottle (0.75l)
PavoNero Rosso,Rosso,Puglia,Italy,PavoNero,Southern Italy,Red,N.V.,4,8.8,EUR,Bottle (0.75l)
Domaine de Carmignan Côtes-du-Rhône Rouge 2018,Côtes-du-Rhône Rouge,Côtes-du-Rhône,France,Domaine de Carmignan,Southern Rhône,Red,2018,4,8.8,EUR,Bottle (0.75l)
Graça 28 Reserva 2022,Reserva,Douro,Portugal,Graça 28,Portuguese,Douro Red,2022,4.1,8.9,EUR,Bottle (0.75l)
Domaine Sibille Le Sibilou 2022,Le Sibilou,Vin de France,France,Domaine Sibille,French,Red,2022,4,8.9,EUR,Bottle (0.75l)
Bastioni della Rocca Appassimento 2023,Appassimento,Puglia,Italy,Bastioni della Rocca,Southern Italy,Red,2023,4,8.95,EUR,Bottle (0.75l)
Geografico Bosco del Grillo Governo 2023,Bosco del Grillo Governo,Toscana,Italy,Geografico,Tuscan,Red,2023,4,8.95,EUR,Bottle (0.75l)
Mocavero Salice Salentino 2020,Salice Salentino,Salice Salentino,Italy,Mocavero,Southern Italy,Red,2020,4,8.95,EUR,Bottle (0.75l)
Vigneti del Salento Negroamaro I Muri 2022,Negroamaro I Muri,Puglia,Italy,Vigneti del Salento,Southern Italy,Red,2022,4,8.95,EUR,Bottle (0.75l)
Citizen Wine Levántalos 2023,Levántalos,Vino de España,Spain,Citizen Wine,Spanish,Red,2023,4.1,8.95,EUR,Bottle (0.75l)
Serre Romani Vieille Fripouille Carignan 2023,Vieille Fripouille Carignan,Côtes Catalanes,France,Serre Romani,Languedoc-Roussillon,Red,2023,4,9,EUR,Bottle (0.75l)
Les Vignerons de Tutiac L'Ironda Blaye - Côtes de Bordeaux Rouge 2022,L'Ironda Blaye - Côtes de Bordeaux Rouge,Blaye - Côtes de Bordeaux,France,Les Vignerons de Tutiac,Bordeaux,Red,2022,4,9,EUR,Bottle (0.75l)
Dezzani Appassimento Rosso Passito 2022,Appassimento Rosso Passito,Piemonte,Italy,Dezzani,Northern Italy,Red,2022,4,9.12,EUR,Bottle (0.75l)
Dezzani Appassimento Rosso Passito 2020,Appassimento Rosso Passito,Piemonte,Italy,Dezzani,Northern Italy,Red,2020,4.1,9.12,EUR,Bottle (0.75l)
Château Brondeau du Tertre Bordeaux Supérieur 2020,Bordeaux Supérieur,Bordeaux Supérieur,France,Château Brondeau du Tertre,Bordeaux,Red,2020,4.1,9.25,EUR,Bottle (0.75l)
Chateau Amanieu d'Albret Quidam Bordeaux Superieur 2018,Quidam Bordeaux Superieur,Bordeaux Supérieur,France,Chateau Amanieu d'Albret,Bordeaux,Red,2018,4.2,9.25,EUR,Bottle (0.75l)
Tenute Fiorebelli Fiorebella Appassimento Rosso del Veneto 2023,Fiorebella Appassimento Rosso del Veneto,Veneto,Italy,Tenute Fiorebelli,Northern Italy,Red,2023,4,9.34,EUR,Bottle (0.75l)
Chateau Contier Bordeaux 2022,Bordeaux,Bordeaux,France,Chateau Contier,Bordeaux,Red,2022,4.1,9.4,EUR,Bottle (0.75l)
Le Chiantigiane Loggia del Sole Governo All'Uso Toscana 2022,Loggia del Sole Governo All'Uso Toscana,Toscana,Italy,Le Chiantigiane,Tuscan,Red,2022,4.1,9.44,EUR,Bottle (0.75l)
Château du Bergey Cuvée Tradition Fronsac 2022,Cuvée Tradition Fronsac,Fronsac,France,Château du Bergey,Bordeaux Right Bank,Libournais Red,2022,4,9.5,EUR,Bottle (0.75l)
Bodegas Piqueras El Abuelo de Piqueras Reserva 2020,El Abuelo de Piqueras Reserva,Almansa,Spain,Bodegas Piqueras,Spanish,Red,2020,4,9.5,EUR,Bottle (0.75l)
Domaine des Prés-Lasses Amourette Boris Feigel 2020,Amourette Boris Feigel,Languedoc-Roussillon,France,Domaine des Prés-Lasses,Languedoc-Roussillon,Red,2020,4.1,9.5,EUR,Bottle (0.75l)
Les Vignerons de Maury Les Maurynates Carignan 2023,Les Maurynates Carignan,Côtes Catalanes,France,Les Vignerons de Maury,Languedoc-Roussillon,Red,2023,4,9.6,EUR,Bottle (0.75l)
Les Vignerons de Maury Maurynates Grenache Noir 2023,Maurynates Grenache Noir,Côtes Catalanes,France,Les Vignerons de Maury,Languedoc-Roussillon,Grenache,2023,4.1,9.6,EUR,Bottle (0.75l)
Le Preare Appassimento Rosso 2021,Appassimento Rosso,Veneto,Italy,Le Preare,Northern Italy,Red,2021,4.1,9.64,EUR,Bottle (0.75l)
Atalaya Laya 2023,Laya,Almansa,Spain,Atalaya,Spanish,Red,2023,4,9.75,EUR,Bottle (0.75l)
Tenuta La Falcona Cavrine 2020,Cavrine,Veneto,Italy,Tenuta La Falcona,Northern Italy,Red,2020,4,9.86,EUR,Bottle (0.75l)
Miliasso Appassimento 2022,Appassimento,Piemonte,Italy,Miliasso,Northern Italy,Red,2022,4.1,9.88,EUR,Bottle (0.75l)
Galasso Lampasso Rosso Appassimento 2021,Lampasso Rosso Appassimento,Abruzzo,Italy,Galasso,Central Italy,Red,2021,4,9.88,EUR,Bottle (0.75l)
Vigneti del Vulture Pipoli Aglianico del Vulture 2021,Pipoli Aglianico del Vulture,Aglianico del Vulture,Italy,Vigneti del Vulture,Southern Italy,Red,2021,4,9.89,EUR,Bottle (0.75l)
Les Vignerons de Tutiac Tout Anqui 2020,Tout Anqui,Blaye - Côtes de Bordeaux,France,Les Vignerons de Tutiac,Bordeaux,Red,2020,4.1,9.9,EUR,Bottle (0.75l)
Les Natives Domaine Desroche Côtes du Rhône 2019,Domaine Desroche Côtes du Rhône,Côtes-du-Rhône,France,Les Natives,Southern Rhône,Red,2019,4,9.9,EUR,Bottle (0.75l)
Aubert et Mathieu Palooza Rouge 2022,Palooza Rouge,Pays d'Oc,France,Aubert et Mathieu,Languedoc-Roussillon,Red,2022,4,9.9,EUR,Bottle (0.75l)
Château Thieuley Generation III Bordeaux Rouge 2019,Generation III Bordeaux Rouge,Bordeaux,France,Château Thieuley,Bordeaux,Red,2019,4,9.9,EUR,Bottle (0.75l)
Mas de Bagnols Le Secret du Hibon Rouge 2022,Le Secret du Hibon Rouge,Côtes du Vivarais,France,Mas de Bagnols,Southern Rhône,Red,2022,4,9.9,EUR,Bottle (0.75l)
Honoro Vera Garnacha 2023,Garnacha,Calatayud,Spain,Honoro Vera,Spanish,Grenache,2023,4.2,9.95,EUR,Bottle (0.75l)
Montebello Monbellezzio Cioccolata Appassimento 2023,Monbellezzio Cioccolata Appassimento,Puglia,Italy,Montebello,Southern Italy,Red,2023,4.1,9.95,EUR,Bottle (0.75l)
Tinazzi Ca' de' Rocchi Merlot Prato del Faggio 2023,Ca' de' Rocchi Merlot Prato del Faggio,Veneto,Italy,Tinazzi,Northern Italy,Red,2023,4.1,9.95,EUR,Bottle (0.75l)
Atalaya El Vigía de la Atalaya Organico 2023,El Vigía de la Atalaya Organico,Almansa,Spain,Atalaya,Spanish,Red,2023,4.1,9.95,EUR,Bottle (0.75l)
Warwick Three Cape Ladies Cape Blend 2017,Three Cape Ladies Cape Blend,Stellenbosch,South Africa,Warwick,South African,Pinotage Blend,2017,4,9.95,EUR,Bottle (0.75l)
San Marzano I Tratturi Salice Salentino 2021,I Tratturi Salice Salentino,Salice Salentino,Italy,San Marzano,Southern Italy,Red,2021,4.1,9.95,EUR,Bottle (0.75l)
Cantine Truentum Belva Rosso (Terre di Chieti) 2022,Belva Rosso (Terre di Chieti),Terre di Chieti,Italy,Cantine Truentum,Central Italy,Red,2022,4,9.95,EUR,Bottle (0.75l)
Piccini Solco da Uve Leggermente Appassite 2022,Solco da Uve Leggermente Appassite,Toscana,Italy,Piccini,Tuscan,Red,2022,4,9.95,EUR,Bottle (0.75l)
Haltinger Winzer Merlot 2019,Merlot,Baden,Germany,Haltinger Winzer,German,Merlot,2019,4.1,9.95,EUR,Bottle (0.75l)
Casa Ermelinda Freitas Sandstone Castelão - Shiraz 2022,Sandstone Castelão - Shiraz,Península de Setúbal,Portugal,Casa Ermelinda Freitas,Southern Portugal,Red,2022,4,9.95,EUR,Bottle (0.75l)
Mocavero Primitivo 2023,Primitivo,Salento,Italy,Mocavero,Southern Italy,Primitivo,2023,4.1,9.95,EUR,Bottle (0.75l)
Château Latapie Château Latapie Réserve 2020,Château Latapie Réserve,Bordeaux,France,Château Latapie,Bordeaux,Red,2020,4.1,9.95,EUR,Bottle (0.75l)
PavoNero Primitivo di Manduria 2023,Primitivo di Manduria,Primitivo di Manduria,Italy,PavoNero,Southern Italy,Primitivo,2023,4,9.95,EUR,Bottle (0.75l)
Varvaglione Fashion Edition 12 e Mezzo Negroamaro del Salento 2021,Fashion Edition 12 e Mezzo Negroamaro del Salento,Salento,Italy,Varvaglione,Southern Italy,Red,2021,4,9.97,EUR,Bottle (0.75l)
Bodegas Vilano Full Flap Red Blend 2021,Full Flap Red Blend,Vino de España,Spain,Bodegas Vilano,Spanish,Red,2021,4,9.98,EUR,Bottle (0.75l)
Félix Solís The Guv’nor,The Guv’nor,Valdepeñas,Spain,Félix Solís,Spanish,Tempranillo,N.V.,4,9.98,EUR,Bottle (0.75l)
Feudi Salentini 125 Uno Due Cinque Primitivo del Salento 2022,125 Uno Due Cinque Primitivo del Salento,Salento,Italy,Feudi Salentini,Southern Italy,Primitivo,2022,4,9.99,EUR,Bottle (0.75l)
Famille Jean-Pierre  Rambier - Domaine Haut-Lirou Mas du Notaire 'Signature' Costières de Nîmes Rouge 2023,Mas du Notaire 'Signature' Costières de Nîmes Rouge,Costières-de-Nîmes,France,Famille Jean-Pierre  Rambier - Domaine Haut-Lirou,Southern Rhône,Red,2023,4,10,EUR,Bottle (0.75l)
Château Laulerie Bergerac Réserve 2022,Bergerac Réserve,Bergerac,France,Château Laulerie,Southwest France,Red,2022,4,10,EUR,Bottle (0.75l)
Marrenon Grand Marrenon Rouge 2022,Grand Marrenon Rouge,Luberon,France,Marrenon,Southern Rhône,Red,2022,4.1,10.2,EUR,Bottle (0.75l)
Varvaglione Fashion Edition 12 e Mezzo Primitivo del Salento 2022,Fashion Edition 12 e Mezzo Primitivo del Salento,Salento,Italy,Varvaglione,Southern Italy,Primitivo,2022,4.1,10.37,EUR,Bottle (0.75l)
Les Passeurs de Vins Marquès del Villar Tinto 2023,Marquès del Villar Tinto,Rioja,Spain,Les Passeurs de Vins,Spanish,Rioja Red,2023,4,10.5,EUR,Bottle (0.75l)
Domaine Sol Payré Ivresse des Sens Rouge 2022,Ivresse des Sens Rouge,Côtes du Roussillon,France,Domaine Sol Payré,Languedoc-Roussillon,Red,2022,4,10.5,EUR,Bottle (0.75l)
Cignomoro Pepe Nero Primitivo Salento 2023,Pepe Nero Primitivo Salento,Salento,Italy,Cignomoro,Southern Italy,Primitivo,2023,4.1,10.5,EUR,Bottle (0.75l)
Botter Appassimento Rosso 2023,Appassimento Rosso,Puglia,Italy,Botter,Southern Italy,Red,2023,4,10.5,EUR,Bottle (0.75l)
Les Vignerons de Granet Esprit de Granet Rouge 2023,Esprit de Granet Rouge,Coteaux d'Aix-en-Provence,France,Les Vignerons de Granet,Provence,Red,2023,4,10.5,EUR,Bottle (0.75l)
Duplico Rosso 2022,Rosso,Puglia,Italy,Duplico,Southern Italy,Red,2022,4,10.57,EUR,Bottle (0.75l)
Cantina Valpantena Torre del Falasco Corvina 2023,Torre del Falasco Corvina,Verona,Italy,Cantina Valpantena,Northern Italy,Red,2023,4,10.6,EUR,Bottle (0.75l)
Velarino Nero di Troia 2022,Nero di Troia,Puglia,Italy,Velarino,Southern Italy,Red,2022,4,10.7,EUR,Bottle (0.75l)
Orsogna Primitivo 2023,Primitivo,Puglia,Italy,Orsogna,Southern Italy,Primitivo,2023,4.1,10.76,EUR,Bottle (0.75l)
Domaine Chastel Samson J’Suis Dans le Rouge 2022,J’Suis Dans le Rouge,Côtes-du-Rhône,France,Domaine Chastel Samson,Southern Rhône,Red,2022,4.2,10.8,EUR,Bottle (0.75l)
Capo Zafferano Appassimento Rosso 2023,Appassimento Rosso,Puglia,Italy,Capo Zafferano,Southern Italy,Red,2023,4,10.88,EUR,Bottle (0.75l)
La Décelle Reserve Côtes-du-Rhône-Villages 'Valréas' Rouge 2020,Reserve Côtes-du-Rhône-Villages 'Valréas' Rouge,Côtes-du-Rhône-Villages 'Valréas',France,La Décelle,Southern Rhône,Red,2020,4,10.9,EUR,Bottle (0.75l)
Bastioni della Rocca Leggero Appassimento Puglia 2023,Leggero Appassimento Puglia,Puglia,Italy,Bastioni della Rocca,Southern Italy,Red,2023,4,10.95,EUR,Bottle (0.75l)
Astrale Nero d'Avola 2023,Nero d'Avola,Sicilia,Italy,Astrale,Southern Italy,Red,2023,4.1,10.95,EUR,Bottle (0.75l)
Soraighe Ireos Rosso Veronese 2022,Ireos Rosso Veronese,Rosso Veronese,Italy,Soraighe,Northern Italy,Red,2022,4,10.95,EUR,Bottle (0.75l)
Bodegas Piqueras El Abuelo Selección Edición Limitada 2019,El Abuelo Selección Edición Limitada,Almansa,Spain,Bodegas Piqueras,Spanish,Red,2019,4,10.95,EUR,Bottle (0.75l)
Château de Caraguilhes Les Gourgoules Corbières 2022,Les Gourgoules Corbières,Corbières,France,Château de Caraguilhes,Languedoc-Roussillon,Red,2022,4,10.95,EUR,Bottle (0.75l)
Vigneti del Salento Zolla Susumaniello 2020,Zolla Susumaniello,Puglia,Italy,Vigneti del Salento,Southern Italy,Red,2020,4,10.95,EUR,Bottle (0.75l)
Château Lacaussade Saint Martin Trois Moulins Blaye Côtes de Bordeaux Rouge 2020,Trois Moulins Blaye Côtes de Bordeaux Rouge,Blaye - Côtes de Bordeaux,France,Château Lacaussade Saint Martin,Bordeaux,Red,2020,4,10.95,EUR,Bottle (0.75l)
Villa Degli Olmi Falsole Verona 2020,Falsole Verona,Verona,Italy,Villa Degli Olmi,Northern Italy,Red,2020,4,10.95,EUR,Bottle (0.75l)
Tenuta Antonini Corium 2022,Corium,Montepulciano d'Abruzzo,Italy,Tenuta Antonini,Italian,Montepulciano d'Abruzzo,2022,4,10.95,EUR,Bottle (0.75l)
Casa Charlize Cuvée Forte 2018,Cuvée Forte,Toscana,Italy,Casa Charlize,Tuscan,Red,2018,4.2,10.95,EUR,Bottle (0.75l)
Ponte Lungo Curioso Grand Edizione 2019,Curioso Grand Edizione,Toscana,Italy,Ponte Lungo,Tuscan,Red,2019,4,10.95,EUR,Bottle (0.75l)
Félix Solís Mucho Mas Gold,Mucho Mas Gold,Vino de España,Spain,Félix Solís,Spanish,Tempranillo,N.V.,4,10.95,EUR,Bottle (0.75l)
Costers del Sió Siós Cau del Gat 2022,Siós Cau del Gat,Costers del Segre,Spain,Costers del Sió,Spanish,Rhône Blend,2022,4,10.95,EUR,Bottle (0.75l)
Casa Bardonecca Collezione di Famiglia Appassimento Chocolate 2023,Collezione di Famiglia Appassimento Chocolate,Puglia,Italy,Casa Bardonecca,Southern Italy,Red,2023,4.1,10.95,EUR,Bottle (0.75l)
Borsao Bodegas Crianza (Selección Crianza) 2019,Crianza (Selección Crianza),Campo de Borja,Spain,Borsao Bodegas,Spanish,Red,2019,4,10.95,EUR,Bottle (0.75l)
Masso Antico Negroamaro da Uve Leggermente Appassite 2022,Negroamaro da Uve Leggermente Appassite,Salento,Italy,Masso Antico,Southern Italy,Red,2022,4.2,10.99,EUR,Bottle (0.75l)
Les Vignerons de Tutiac L'Ironda Blaye - Côtes de Bordeaux Rouge 2020,L'Ironda Blaye - Côtes de Bordeaux Rouge,Blaye - Côtes de Bordeaux,France,Les Vignerons de Tutiac,Bordeaux,Red,2020,4,11,EUR,Bottle (0.75l)
Domaine Haut Ventenac L'Authentique Francs Côtes de Bordeaux 2022,L'Authentique Francs Côtes de Bordeaux,Francs - Côtes de Bordeaux,France,Domaine Haut Ventenac,Bordeaux,Red,2022,4,11,EUR,Bottle (0.75l)
Meunerie Opus 2022,Opus,Côtes Catalanes,France,Meunerie,Languedoc-Roussillon,Red,2022,4.1,11,EUR,Bottle (0.75l)
Château Roseyrol Castillon Côtes De Bordeaux 2016,Castillon Côtes De Bordeaux,Castillon - Côtes de Bordeaux,France,Château Roseyrol,Bordeaux,Red,2016,4,11,EUR,Bottle (0.75l)
Lupo Meraviglia Tecnica del Salasso Tre di Tre 2022,Tecnica del Salasso Tre di Tre,Puglia,Italy,Lupo Meraviglia,Southern Italy,Red,2022,4.1,11.1,EUR,Bottle (0.75l)
Lupo Meraviglia Vinificato Nel Palmento Due di Due 2022,Vinificato Nel Palmento Due di Due,Puglia,Italy,Lupo Meraviglia,Southern Italy,Red,2022,4,11.1,EUR,Bottle (0.75l)
Château Rigaud Puisseguin Saint-Émilion 2018,Puisseguin Saint-Émilion,Puisseguin-Saint-Émilion,France,Château Rigaud,Bordeaux Right Bank,Saint-Émilion,2018,4.1,11.2,EUR,Bottle (0.75l)
Piccini Memoro Quattro Elementi Montepulciano d'abruzzo 2022,Memoro Quattro Elementi Montepulciano d'abruzzo,Montepulciano d'Abruzzo,Italy,Piccini,Italian,Montepulciano d'Abruzzo,2022,4.1,11.2,EUR,Bottle (0.75l)
Doppio Passo Primitivo 2023,Primitivo,Puglia,Italy,Doppio Passo,Southern Italy,Primitivo,2023,4,11.2,EUR,Bottle (0.75l)
Masso Antico Appassito Primitivo 2023,Appassito Primitivo,Salento,Italy,Masso Antico,Southern Italy,Primitivo,2023,4,11.2,EUR,Bottle (0.75l)
Langmeil Steadfast Shiraz - Cabernet 2021,Steadfast Shiraz - Cabernet,Barossa Valley,Australia,Langmeil,Australian,Cabernet - Shiraz,2021,4,11.3,EUR,Bottle (0.75l)
Château Lafont-Fourcat Bordeaux 2019,Bordeaux,Bordeaux,France,Château Lafont-Fourcat,Bordeaux,Red,2019,4,11.31,EUR,Bottle (0.75l)
Conte di Campiano Limited 15 Gradi Edition Cabernet - Primitivo 2021,Limited 15 Gradi Edition Cabernet - Primitivo,Vino d'Italia,Italy,Conte di Campiano,Italian,Red,2021,4,11.35,EUR,Bottle (0.75l)
Trambusti Sentimento 2019,Sentimento,Toscana,Italy,Trambusti,Tuscan,Red,2019,4.1,11.38,EUR,Bottle (0.75l)
Baglio Gibellina U...Passimiento Rosse 2023,U...Passimiento Rosse,Terre Siciliane,Italy,Baglio Gibellina,Southern Italy,Red,2023,4.1,11.38,EUR,Bottle (0.75l)
Maison Rivier Cuvée Madeleine Rouge 2023,Cuvée Madeleine Rouge,Côtes-du-Rhône,France,Maison Rivier,Southern Rhône,Red,2023,4.1,11.4,EUR,Bottle (0.75l)
Les Vignerons du Sommiérois Laura Coteaux du Languedoc 2022,Laura Coteaux du Languedoc,Languedoc,France,Les Vignerons du Sommiérois,Languedoc-Roussillon,Red,2022,4,11.4,EUR,Bottle (0.75l)
Orsogna Padami Appassite Rosso 2022,Padami Appassite Rosso,Abruzzo,Italy,Orsogna,Central Italy,Red,2022,4.1,11.4,EUR,Bottle (0.75l)
Capo Zafferano Primitivo 2021,Primitivo,Puglia,Italy,Capo Zafferano,Southern Italy,Primitivo,2021,4.1,11.44,EUR,Bottle (0.75l)
Bodegas Marqués de Cáceres Excellens Cuvée Especial 2019,Excellens Cuvée Especial,Rioja,Spain,Bodegas Marqués de Cáceres,Spanish,Rioja Red,2019,4,11.45,EUR,Bottle (0.75l)
Château la Bastide Respelida Syrah 2021,Respelida Syrah,Aude,France,Château la Bastide,Languedoc-Roussillon,Red,2021,4,11.5,EUR,Bottle (0.75l)
La Coume-Lumet La Camin de Lumet Limoux 2019,La Camin de Lumet Limoux,Limoux,France,La Coume-Lumet,Languedoc-Roussillon,Red,2019,4,11.5,EUR,Large Bottle (1.0 l)
Castelmaure La Pompadour Corbières 2022,La Pompadour Corbières,Corbières,France,Castelmaure,Languedoc-Roussillon,Red,2022,4.1,11.5,EUR,Bottle (0.75l)
Château Goudichaud Graves de Vayres Rouge 2019,Graves de Vayres Rouge,Graves de Vayres,France,Château Goudichaud,Bordeaux,Red,2019,4,11.5,EUR,Bottle (0.75l)
Big Boys Zinfandel 2023,Zinfandel,Puglia,Italy,Big Boys,Southern Italy,Primitivo,2023,4.1,11.5,EUR,Bottle (0.75l)
La Frassina Merlot 2021,Merlot,Lison-Pramaggiore,Italy,La Frassina,Northern Italy,Red,2021,4,11.53,EUR,Bottle (0.75l)
Oro Italiano Governo All’Uso Toscano 2022,Governo All’Uso Toscano,Toscana,Italy,Oro Italiano,Tuscan,Red,2022,4,11.55,EUR,Bottle (0.75l)
Château Haut Gravier Côtes de Bourg 2020,Côtes de Bourg,Côtes de Bourg,France,Château Haut Gravier,Bordeaux,Red,2020,4,11.56,EUR,Bottle (0.75l)
Vignerons Ardéchois Domaine Terra Noé Ardèche 2021,Domaine Terra Noé Ardèche,Ardèche,France,Vignerons Ardéchois,French,Red,2021,4,11.6,EUR,Bottle (0.75l)
Aubert et Mathieu Amy Grenache - Syrah 2021,Amy Grenache - Syrah,Pays d'Oc,France,Aubert et Mathieu,Languedoc-Roussillon,Red,2021,4,11.65,EUR,Bottle (0.75l)
Michel & Stéphane Ogier Le Temps est Venu 2022,Le Temps est Venu,Côtes-du-Rhône-Villages 'Plan de Dieu',France,Michel & Stéphane Ogier,Southern Rhône,Red,2022,4,11.66,EUR,Bottle (0.75l)
Massimo Firelli Prestige Susumaniello 2023,Prestige Susumaniello,Salento,Italy,Massimo Firelli,Southern Italy,Red,2023,4.2,11.66,EUR,Bottle (0.75l)
San Marzano Talò Malvasia Nera 2022,Talò Malvasia Nera,Salento,Italy,San Marzano,Southern Italy,Red,2022,4,11.66,EUR,Bottle (0.75l)
Inessa Nero d'Avola 2022,Nero d'Avola,Terre Siciliane,Italy,Inessa,Southern Italy,Red,2022,4,11.7,EUR,Bottle (0.75l)
Geografico Borgo Alla Terra Governo all'Uso 2022,Borgo Alla Terra Governo all'Uso,Toscana,Italy,Geografico,Tuscan,Red,2022,4,11.7,EUR,Bottle (0.75l)
Château Mazerolles Grand Vin Blaye - Côtes de Bordeaux 2020,Grand Vin Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux,France,Château Mazerolles,Bordeaux,Red,2020,4.2,11.76,EUR,Bottle (0.75l)
Cailhol Gautran Carretal 2022,Carretal,Languedoc,France,Cailhol Gautran,Languedoc-Roussillon,Red,2022,4,11.8,EUR,Bottle (0.75l)
Borgo del Mandorlo Appassimento Puglia Rosso 2023,Appassimento Puglia Rosso,Puglia,Italy,Borgo del Mandorlo,Southern Italy,Red,2023,4.1,11.8,EUR,Bottle (0.75l)
Domaine Olga Raffault Les Barnabés Chinon 2021,Les Barnabés Chinon,Chinon,France,Domaine Olga Raffault,Middle Loire,Cabernet Franc,2021,4,11.8,EUR,Bottle (0.75l)
Notte Rossa Nero di Troia 2023,Nero di Troia,Puglia,Italy,Notte Rossa,Southern Italy,Red,2023,4,11.8,EUR,Bottle (0.75l)
Biscardo Neropasso Veneto Rosso 2021,Neropasso Veneto Rosso,Veneto,Italy,Biscardo,Northern Italy,Red,2021,4.1,11.87,EUR,Bottle (0.75l)
Casarena 505 Vineyards Malbec 2023,505 Vineyards Malbec,Mendoza,Argentina,Casarena,Argentinian Mendoza,Malbec,2023,4,11.9,EUR,Bottle (0.75l)
Le Vent des Jours Les Calades Malbec 2021,Les Calades Malbec,Cahors,France,Le Vent des Jours,Southwest France,Malbec,2021,4,11.9,EUR,Bottle (0.75l)
Aubert et Mathieu Marie Antoinette Corbières 2022,Marie Antoinette Corbières,Corbières,France,Aubert et Mathieu,Languedoc-Roussillon,Red,2022,4,11.9,EUR,Bottle (0.75l)
Podere 29 Unio Nero di Troia - Primitivo 2022,Unio Nero di Troia - Primitivo,Puglia,Italy,Podere 29,Southern Italy,Red,2022,4.1,11.9,EUR,Bottle (0.75l)
Château Canon Montségur Oscar Castillon - Côtes de Bordeaux 2019,Oscar Castillon - Côtes de Bordeaux,Castillon - Côtes de Bordeaux,France,Château Canon Montségur,Bordeaux,Red,2019,4,11.9,EUR,Bottle (0.75l)
Tank No. 32 Appassimento Primitivo 2022,No. 32 Appassimento Primitivo,Puglia,Italy,Tank,Southern Italy,Primitivo,2022,4.1,11.95,EUR,Bottle (0.75l)
Masca del Tacco Lu Rappaio Primitivo di Manduria 2022,Lu Rappaio Primitivo di Manduria,Primitivo di Manduria,Italy,Masca del Tacco,Southern Italy,Primitivo,2022,4.1,11.95,EUR,Bottle (0.75l)
Costers del Sió Siós Nature Syrah 2023,Siós Nature Syrah,Costers del Segre,Spain,Costers del Sió,Spanish,Syrah,2023,4,11.95,EUR,Bottle (0.75l)
Feuerheerd's Reserva Tinto 2020,Reserva Tinto,Douro,Portugal,Feuerheerd's,Portuguese,Douro Red,2020,4,11.95,EUR,Bottle (0.75l)
Barista Pinotage 2023,Pinotage,Western Cape,South Africa,Barista,South African,Pinotage,2023,4,11.95,EUR,Bottle (0.75l)
Piccini Sasso al Poggio Toscana 2020,Sasso al Poggio Toscana,Toscana,Italy,Piccini,Tuscan,Red,2020,4,11.95,EUR,Bottle (0.75l)
Tinazzi Ca' de' Rocchi Corvè Corvina della Provincia di Verona 2021,Ca' de' Rocchi Corvè Corvina della Provincia di Verona,Verona,Italy,Tinazzi,Northern Italy,Red,2021,4,11.95,EUR,Bottle (0.75l)
Morca Flor de Morca 2023,Flor de Morca,Campo de Borja,Spain,Morca,Spanish,Grenache,2023,4.2,11.95,EUR,Bottle (0.75l)
Quinta do Pégo Douro Reserva Cerro Do Santo 2017,Douro Reserva Cerro Do Santo,Douro,Portugal,Quinta do Pégo,Portuguese,Douro Red,2017,4,11.95,EUR,Bottle (0.75l)
No Bull Zinfandel 2021,Zinfandel,California,United States,No Bull,Californian,Zinfandel,2021,4,11.95,EUR,Bottle (0.75l)
Pagos del Rey 409 Tinto 2022,409 Tinto,Ribera del Duero,Spain,Pagos del Rey,Spanish,Ribera Del Duero Red,2022,4,11.95,EUR,Bottle (0.75l)
