Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Mas de la Seranne Le Clos des Immortelles Terrasses du Larzac 2022,Le Clos des Immortelles Terrasses du Larzac,Terrasses du Larzac,France,Mas de la Seranne,Languedoc-Roussillon,Red,2022,4,17.9,EUR,Bottle (0.75l)
Mas Becha Barrique Rouge 2020,Barrique Rouge,Côtes du Roussillon,France,Mas Becha,Languedoc-Roussillon,Red,2020,4.1,17.9,EUR,Bottle (0.75l)
Jean-Paul Thévenet Morgon 2023,Morgon,Morgon,France,Jean-Paul Thévenet,Beaujolais,Red,2023,4,17.9,EUR,Bottle (0.75l)
Bosco de’ Medici Lavarubra 2023,Lavarubra,Vesuvio,Italy,Bosco de’ Medici,Southern Italy,Red,2023,4,17.9,EUR,Bottle (0.75l)
Azienda Agricola Urlari Pervale 2018,Pervale,Toscana,Italy,Azienda Agricola Urlari,Tuscan,Red,2018,4.2,17.9,EUR,Bottle (0.75l)
Guasti Clemente Boschetto Vecchio Barbera d'Asti Superiore 2020,Boschetto Vecchio Barbera d'Asti Superiore,Barbera d'Asti,Italy,Guasti Clemente,Italian,Barbera,2020,4.1,17.9,EUR,Bottle (0.75l)
Château le Prieuré Jehanne Saint-Estèphe 2021,Saint-Estèphe,Saint-Estèphe,France,Château le Prieuré Jehanne,Bordeaux Left Bank,Saint-Estèphe,2021,4.1,17.9,EUR,Bottle (0.75l)
Azienda Agricola Urlari Pervale 2017,Pervale,Toscana,Italy,Azienda Agricola Urlari,Tuscan,Red,2017,4.1,17.9,EUR,Bottle (0.75l)
Château Fonroque Château Cartier Saint-Émilion Grand Cru 2020,Château Cartier Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Fonroque,Bordeaux Right Bank,Saint-Émilion,2020,4,17.9,EUR,Bottle (0.75l)
Gómez Cruzado Crianza 2021,Crianza,Rioja,Spain,Gómez Cruzado,Spanish,Rioja Red,2021,4,17.9,EUR,Bottle (0.75l)
Juan Gil Jumilla Silver Label 2021,Jumilla Silver Label,Jumilla,Spain,Juan Gil,Spanish,Monastrell,2021,4,17.9,EUR,Bottle (0.75l)
Robert & Bernard Plageoles Le Duras 2019,Le Duras,Gaillac,France,Robert & Bernard Plageoles,Southwest France,Red,2019,4.1,17.9,EUR,Bottle (0.75l)
Domaine le Grand Castelet Rideaux Sur Les Vendanges 2021,Rideaux Sur Les Vendanges,Alpilles,France,Domaine le Grand Castelet,French,Méditerranée,2021,4.1,17.9,EUR,Bottle (0.75l)
Villscheider Zweigelt 2023,Zweigelt,Mitterberg,Italy,Villscheider,Northern Italy,Red,2023,4,17.94,EUR,Bottle (0.75l)
Monte del Frá Valpolicella Ripasso Classico Superiore Lena di Mezzo 2021,Valpolicella Ripasso Classico Superiore Lena di Mezzo,Valpolicella Ripasso,Italy,Monte del Frá,Italian,Ripasso,2021,4,17.94,EUR,Bottle (0.75l)
Château Magnan-Figeac Saint-Émilion Grand Cru 2018,Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Magnan-Figeac,Bordeaux Right Bank,Saint-Émilion,2018,4,17.95,EUR,Bottle (0.75l)
Château Montana Silencio 2021,Silencio,Côtes du Roussillon,France,Château Montana,Languedoc-Roussillon,Red,2021,4,17.95,EUR,Bottle (0.75l)
Terre des 2 Sources Caprices 2018,Caprices,Terrasses du Larzac,France,Terre des 2 Sources,Languedoc-Roussillon,Red,2018,4,17.95,EUR,Bottle (0.75l)
Gérard Bertrand Kosmos Red (Organic) 2020,Kosmos Red (Organic),Vin de France,France,Gérard Bertrand,French,Red,2020,4.1,17.95,EUR,Bottle (0.75l)
Costers del Sió Alto Siós 2021,Alto Siós,Costers del Segre,Spain,Costers del Sió,Spanish,Red,2021,4.1,17.95,EUR,Bottle (0.75l)
Stephane Montez - Domaine du Monteillet Les Hauts du Monteillet Syrah 2020,Les Hauts du Monteillet Syrah,Collines Rhodaniennes,France,Stephane Montez - Domaine du Monteillet,Comtés Rhodaniens,Red,2020,4,17.95,EUR,Bottle (0.75l)
Château Lys de Maisonneuve Cuvée Confidentielle Montagne Saint-Émilion 2022,Cuvée Confidentielle Montagne Saint-Émilion,Montagne-Saint-Émilion,France,Château Lys de Maisonneuve,Bordeaux Right Bank,Saint-Émilion,2022,4.1,17.95,EUR,Bottle (0.75l)
Cantine Paradiso 1954 Primitivo Puglia 2021,1954 Primitivo Puglia,Puglia,Italy,Cantine Paradiso,Southern Italy,Primitivo,2021,4.2,17.95,EUR,Bottle (0.75l)
Casa Rojo Las Viñas Bastardas 2021,Las Viñas Bastardas,Vino de España,Spain,Casa Rojo,Spanish,Red,2021,4,17.95,EUR,Bottle (0.75l)
Rupert & Rothschild Classique 2020,Classique,Western Cape,South Africa,Rupert & Rothschild,South African,Bordeaux Blend,2020,4.2,17.95,EUR,Bottle (0.75l)
Yacochuya San Pedro de Yacochuya 2021,San Pedro de Yacochuya,Cafayate Valley,Argentina,Yacochuya,Argentinian,Cabernet - Malbec,2021,4.1,17.95,EUR,Bottle (0.75l)
Biscardo Enigma Apassimento Sangiovese Rubicone 2022,Enigma Apassimento Sangiovese Rubicone,Rubicone,Italy,Biscardo,Northern Italy,Red,2022,4.1,17.95,EUR,Bottle (0.75l)
Haltinger Winzer Spätburgunder Réserve 2018,Spätburgunder Réserve,Baden,Germany,Haltinger Winzer,German,Spätburgunder,2018,4,17.95,EUR,Magnum Bottle (1.5 l)
Can Blau Can Blau 2020,Can Blau,Montsant,Spain,Can Blau,Spanish,Montsant Red,2020,4,17.95,EUR,Bottle (0.75l)
Bindi Sergardi Ser Gardo Chianti Classico 2021,Ser Gardo Chianti Classico,Chianti Classico,Italy,Bindi Sergardi,Italian,Chianti Classico,2021,4,17.95,EUR,Bottle (0.75l)
Creation Syrah - Grenache 2022,Syrah - Grenache,Walker Bay,South Africa,Creation,South African,Rhône Blend,2022,4,17.95,EUR,Bottle (0.75l)
Domaine du Grand Ormeau Lalande de Pomerol 2019,Lalande de Pomerol,Lalande-de-Pomerol,France,Domaine du Grand Ormeau,Bordeaux Right Bank,Libournais Red,2019,4.1,17.95,EUR,Bottle (0.75l)
Tinazzi Tenuta Valleselle Rovertondo Valpolicella Ripasso Superiore 2021,Tenuta Valleselle Rovertondo Valpolicella Ripasso Superiore,Valpolicella Ripasso,Italy,Tinazzi,Italian,Ripasso,2021,4.1,17.96,EUR,Bottle (0.75l)
Château Rollan de By Médoc 2018,Médoc,Médoc,France,Château Rollan de By,Bordeaux Left Bank,Médoc,2018,4,17.96,EUR,Bottle (0.75l)
Epicuro Susumaniello 2022,Susumaniello,Puglia,Italy,Epicuro,Southern Italy,Red,2022,4.1,17.99,EUR,Bottle (0.75l)
